ID_ESCOLA;NO_ESCOLA;REDE;RENDIMENTO_2023;SAEB_MAT_2023;SAEB_PORT_2023;SAEB_MEDIA_2023;IDEB_2023;INSE_2023;N_ALUNOS_INSE;INSE_CLASSIFICACAO;TDI_2023;IED_2023;Nome do Município;Nome da Escola;Dependência Administrativa;G1;G2;G3;G4;G5;AFD_2023;DSU_2023;IRD_2023;ATU_2023;HAD_2023;ICG_2023;TNR_2023;SPAECE_PORT_2023;SPAECE_MAT_2023;SPAECE_MEDIA_2023;INF_2023;ATU_CENSO_2023;PCB_2023;PCH_2023
23073144;ESCOLA MUNICIPAL PROFESSORA LIREDA FACO;Municipal;0.992392;237.86;251.64;4.825;4.8;4.46;285;Nível III;11.3;397.8;Fortaleza;ESCOLA MUNICIPAL PROFESSORA LIREDA FACO;Municipal;84.9;0.0;15.1;0.0;0.0;92.45;100.0;2.911185;35.4;6.5;6;0.1;250.212210484244;235.18626943384;242.699239959042;10.0;29.93220338983051;18.415637860082303;47.45186862967157
23073543;ESCOLA MUNICIPAL MARIA DE LOURDES RIBEIRO JEREISSATI;Municipal;1.0;243.79;271.0;5.2465;5.2;4.44;181;Nível III;12.6;380.5;Fortaleza;ESCOLA MUNICIPAL MARIA DE LOURDES RIBEIRO JEREISSATI;Municipal;79.5;0.0;8.4;0.0;12.1;83.7;90.3;2.858354;37.1;6.8;4;1.1;264.616163741923;238.798072373934;251.70711805792848;11.0;27.729166666666668;13.162393162393164;50.86401202103682
23073608;ESCOLA MUNICIPAL PROFESSORA MARIA GONDIM DOS SANTOS;Municipal;1.0;235.46;241.2;4.611;4.6;4.47;162;Nível III;11.5;384.0;Fortaleza;ESCOLA MUNICIPAL PROFESSORA MARIA GONDIM DOS SANTOS;Municipal;88.7;0.0;0.0;0.0;11.3;88.7;88.0;2.554707;33.3;7.0;4;1.2;241.51620034737;232.855728381327;237.18596436434848;10.0;21.41025641025641;26.82481751824817;51.8562874251497
23073667;ESCOLA MUNICIPAL MARIA HELENILCE CAVALCANTE LEITE MARTINS;Municipal;0.984635;234.64;238.09;4.5455;4.5;4.6;222;Nível IV;21.0;403.1;Fortaleza;ESCOLA MUNICIPAL MARIA HELENILCE CAVALCANTE LEITE MARTINS;Municipal;89.3;0.0;6.4;0.0;4.3;92.5;93.9;2.843208;34.5;6.9;4;2.2;238.148610880564;228.17159429891;233.160102589737;10.0;30.151515151515152;6.0606060606060606;54.17085427135678
23073748;ESCOLA MUNICIPAL PROFESSORA MARIA STELLA COCHRANE SANTIAGO;Municipal;1.0;252.87;266.98;5.330833;5.3;4.85;185;Nível IV;8.7;390.3;Fortaleza;ESCOLA MUNICIPAL PROFESSORA MARIA STELLA COCHRANE SANTIAGO;Municipal;88.8;0.0;2.0;0.0;9.2;89.8;93.5;2.494638;38.4;6.6;4;1.5;266.222133431097;248.793280231977;257.507706831537;10.0;25.73913043478261;13.135593220338984;51.09797297297297
23073764;ESCOLA MUNICIPAL MARIA VIVIANE BENEVIDES GOUVEIA;Municipal;1.0;246.96;261.52;5.141333;5.1;4.63;132;Nível IV;11.6;406.1;Fortaleza;ESCOLA MUNICIPAL MARIA VIVIANE BENEVIDES GOUVEIA;Municipal;91.1;0.0;8.9;0.0;0.0;95.55;100.0;2.724751;29.8;6.9;4;0.4;259.497686454412;244.164577296622;251.83113187551703;10.0;26.2;29.095354523227385;54.50381679389314
23073772;ESCOLA MUNICIPAL MARIA ZELIA CORREIA DE SOUZA;Municipal;0.946549;238.62;242.07;4.678167;4.4;4.55;169;Nível IV;21.6;403.4;Fortaleza;ESCOLA MUNICIPAL MARIA ZELIA CORREIA DE SOUZA;Municipal;98.9;0.0;1.1;0.0;0.0;99.45;100.0;2.351593;33.6;7.1;5;9.0;239.113728253807;229.471854644894;234.2927914493505;11.0;28.535714285714285;12.454873646209386;48.93617021276596
23073870;ESCOLA MUNICIPAL GENERAL MANOEL CORDEIRO NETO;Municipal;0.995951;238.36;248.44;4.78;4.8;4.49;205;Nível III;18.2;383.2;Fortaleza;ESCOLA MUNICIPAL GENERAL MANOEL CORDEIRO NETO;Municipal;92.9;0.0;4.6;0.0;2.5;95.2;95.1;2.625683;32.6;6.9;3;1.6;246.52154085039;229.772767994402;238.147154422396;10.0;32.64705882352941;20.418848167539267;49.90990990990991
23073934;ESCOLA MUNICIPAL DOM MANOEL DA SILVA GOMES;Municipal;0.995951;262.37;275.03;5.623333;5.6;4.68;263;Nível IV;11.6;394.19999999999993;Fortaleza;ESCOLA MUNICIPAL DOM MANOEL DA SILVA GOMES;Municipal;84.5;0.0;0.0;0.0;15.5;84.5;91.4;3.265401;35.2;7.0;3;2.5;267.246201269432;250.647579444261;258.9468903568465;9.0;29.785714285714285;13.541666666666666;49.280575539568346
23074078;ESCOLA MUNICIPAL MARIETA CALS;Municipal;0.988968;253.62;268.14;5.362667;5.3;4.69;275;Nível IV;11.0;384.80000000000007;Fortaleza;ESCOLA MUNICIPAL MARIETA CALS;Municipal;94.5;0.0;1.1;0.0;4.4;95.05;92.3;3.119382;38.2;6.9;6;0.8;269.72893206219;248.701983486369;259.21545777427946;10.0;32.5;14.673913043478262;48.32167832167833
23074086;ESCOLA MUNICIPAL MARIETA GUEDES MARTINS;Municipal;1.0;245.65;257.85;5.058333;5.1;4.63;241;Nível IV;15.1;382.9;Fortaleza;ESCOLA MUNICIPAL MARIETA GUEDES MARTINS;Municipal;90.8;0.0;4.4;0.0;4.8;93.0;97.6;3.155244;36.1;6.8;3;0.8;251.627099952887;239.136404769831;245.381752361359;11.0;36.13636363636363;10.321100917431194;50.06289308176101
23074124;ESCOLA MUNICIPAL MARTHA DOS MARTINS COELHO GUILHERME;Municipal;1.0;250.81;267.05;5.297667;5.3;4.68;212;Nível IV;13.6;400.1;Fortaleza;ESCOLA MUNICIPAL MARTHA DOS MARTINS COELHO GUILHERME;Municipal;80.3;0.0;1.5;0.0;18.2;81.05;84.4;2.565228;36.0;7.0;4;3.2;263.117177135452;242.198170204508;252.65767366998;9.0;28.186046511627907;5.9459459459459465;50.99009900990099
23074140;ESCOLA MUNICIPAL PROFESSOR MARTINZ DE AGUIAR;Municipal;0.998493;261.13;272.5;5.5605;5.6;4.62;134;Nível IV;19.6;390.5;Fortaleza;ESCOLA MUNICIPAL PROFESSOR MARTINZ DE AGUIAR;Municipal;100.0;0.0;0.0;0.0;0.0;100.0;100.0;3.289749;33.6;6.6;3;1.6;270.015708983125;252.130171444573;261.072940213849;10.0;29.37037037037037;10.606060606060606;50.94577553593948
