Nome do Município;ID_ESCOLA;Nome da Escola;Dependência Administrativa;G1;G2;G3;G4;G5;AFD_2023
Fortaleza;23256036;ESCOLA MUNICIPAL JADER DE FIGUEIREDO CORREIA;Municipal;;;;;;
Fortaleza;23256044;ESCOLA MUNICIPAL VIRGILIO TAVORA;Municipal;;;;;;
Fortaleza;23256060;ESCOLA MUNICIPAL SAO JOSE;Municipal;91.2;0.0;8.8;0.0;0.0;95.60000000000001
Fortaleza;23256460;ESCOLA MUNICIPAL PROFESSORA MARIA DO SOCORRO FERREIRA VIRINO;Municipal;;;;;;
Fortaleza;23256478;ESCOLA MUNICIPAL JOSE SOBREIRA DE AMORIM;Municipal;;;;;;
Fortaleza;23256486;ESCOLA MUNICIPAL PADRE FELICE PISTONE;Municipal;;;;;;
Fortaleza;23256559;ESCOLA MUNICIPAL PROFESSORA JOSEFINA PARENTE DE ARAUJO;Municipal;;;;;;
Fortaleza;23256591;ESCOLA MUNICIPAL MARIA DE LOURDES;Municipal;;;;;;
Fortaleza;23256605;ESCOLA MUNICIPAL PROFESSORA BERNADETE ORIA DE OLIVEIRA;Municipal;;;;;;
Fortaleza;23256656;ESCOLA MUNICIPAL SAGRADO CORACAO;Municipal;;;;;;
Fortaleza;23256699;ESCOLA MUNICIPAL MANOEL MALVEIRA MAIA;Municipal;;;;;;
Fortaleza;23256737;ESCOLA MUNICIPAL NOVO RENASCER;Municipal;;;;;;
Fortaleza;23256761;ESCOLA MUNICIPAL RAIMUNDO MOREIRA SENA;Municipal;91.1;0.0;8.9;0.0;0.0;95.55
Fortaleza;23256796;ESCOLA MUNICIPAL JOSE CARLOS MATOS;Municipal;;;;;;
Fortaleza;23256850;ESCOLA MUNICIPAL ANDRE LUIS;Municipal;;;;;;
Fortaleza;23256907;ESCOLA MUNICIPAL ULISSES GUIMARAES;Municipal;;;;;;
Fortaleza;23256915;ESCOLA MUNICIPAL SANTA ISABEL;Municipal;;;;;;
Fortaleza;23256923;ESCOLA MUNICIPAL FLORIVAL ALVES SERAINE;Municipal;;;;;;
Fortaleza;23256966;ESCOLA MUNICIPAL IRMA ROCHA;Municipal;;;;;;
Fortaleza;23256990;ESCOLA MUNICIPAL ROSA AMARO CAVALCANTE;Municipal;;;;;;
Fortaleza;23257059;ESCOLA MUNICIPAL PROFESSORA IRENE DE SOUZA PEREIRA;Municipal;100.0;0.0;0.0;0.0;0.0;100.0
Fortaleza;23257075;ESCOLA MUNICIPAL SAO CARLOS;Municipal;;;;;;
Fortaleza;23257105;ESCOLA MUNICIPAL HILZA DIOGO CALS;Municipal;;;;;;
Fortaleza;23257172;ESCOLA MUNICIPAL JOAO FREDERICO FERREIRA GOMES;Municipal;;;;;;
Fortaleza;23257202;ESCOLA MUNICIPAL JOAO PAULO II;Municipal;;;;;;
Fortaleza;23257237;ESCOLA MUNICIPAL MURILO SERPA;Municipal;;;;;;
Fortaleza;23257300;ESCOLA MUNICIPAL MARIA BEZERRA QUEVEDO;Municipal;;;;;;
Fortaleza;23257334;ESCOLA MUNICIPAL TEREZA D ANA;Municipal;;;;;;
